PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
904_2126219485,904,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$545 ,46,$616 ,18.68, Small ,96695,29.10%,"$58,323 ","$750,999 ",36.50%,21.50%,2.00%,37.00%,28.20%,2,3,4,4
1118_2126219485,1118,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,"$1,660 ",52,"$1,660 ",8.01, Small ,109664,55.30%,"$110,951 ","$2,014,020 ",54.50%,21.20%,15.50%,2.70%,26.70%,0,3,3,3
909_2126219485,909,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$320 ,51,$326 ,17.6, Medium ,128481,26.20%,"$57,186 ","$622,337 ",39.70%,31.00%,3.20%,17.50%,23.80%,2,2,3,3
1125_2126219485,1125,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,"$1,316 ",52,"$1,316 ",6.27, Large ,154338,53.50%,"$107,592 ","$1,631,885 ",43.60%,21.40%,49.30%,3.50%,25.80%,2,2,3,3
924_2126219485,924,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$430 ,52,$430 ,10.03, Medium ,45822,33.30%,"$69,771 ","$1,679,664 ",45.50%,8.10%,2.40%,1.30%,32.60%,3,2,2,2
1132_2126219485,1132,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$633 ,52,$633 ,2.38, Large ,95925,41.80%,"$83,396 ","$1,163,475 ",32.20%,49.20%,12.10%,4.00%,24.00%,0,2,3,3
1117_2126219485,1117,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$176 ,52,$176 ,7.55, Small ,113869,66.40%,"$160,965 ","$2,129,200 ",71.40%,18.80%,33.30%,3.30%,22.70%,0,0,2,2
940_2126219485,940,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$420 ,52,$420 ,1.1, Small ,120259,29.40%,"$58,554 ","$855,976 ",36.80%,19.70%,1.90%,35.40%,29.00%,1,1,3,3
1005_2126219485,1005,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$305 ,40,$396 ,15.13, Medium ,96370,50.50%,"$100,569 ","$1,198,186 ",44.70%,18.90%,8.50%,4.70%,19.80%,3,2,2,2
1011_2126219485,1011,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$325 ,52,$325 ,4.51, Medium ,44532,51.00%,"$101,250 ","$1,219,443 ",38.00%,22.10%,3.80%,4.40%,17.60%,1,1,0,0
930_2126219485,930,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$413 ,51,$421 ,7.13, Medium ,37403,37.30%,"$78,320 ","$2,046,003 ",40.60%,19.60%,1.80%,1.60%,29.10%,3,3,3,3
1006_2126219485,1006,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$294 ,14,"$1,092 ",15.03, Large ,160333,25.60%,"$53,360 ","$719,646 ",34.80%,43.90%,3.30%,7.80%,22.20%,2,3,3,3
937_2126219485,937,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$196 ,52,$196 ,2.46, Large ,57919,19.40%,"$47,357 ","$507,951 ",30.60%,6.00%,3.20%,31.10%,24.30%,2,2,2,2
1201_2126219485,1201,NV,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$375 ,44,$443 ,14.67, Large ,170684,30.00%,"$64,506 ","$873,551 ",31.50%,26.30%,11.60%,11.50%,25.20%,2,4,4,4
1120_2126219485,1120,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,"$1,203 ",52,"$1,203 ",7.05, Large ,168631,56.50%,"$116,849 ","$1,755,512 ",47.60%,28.60%,29.00%,3.20%,23.80%,0,3,3,3
916_2126219485,916,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$215 ,52,$215 ,14, Medium ,49058,28.30%,"$62,481 ","$1,129,541 ",31.10%,13.60%,1.80%,8.80%,30.70%,3,3,2,2
1129_2126219485,1129,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,"$2,341 ",52,"$2,341 ",2.9, Large ,221630,36.50%,"$72,351 ","$544,837 ",45.50%,34.20%,10.80%,7.80%,19.80%,1,2,3,3
927_2126219485,927,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$535 ,52,$535 ,8.95, Medium ,131996,30.20%,"$62,860 ","$897,605 ",33.60%,29.80%,4.90%,27.10%,26.00%,2,2,2,2
1106_2126219485,1106,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$330 ,52,$330 ,13.56, Large ,207129,44.00%,"$86,671 ","$1,090,631 ",42.80%,35.60%,20.20%,10.60%,24.40%,2,4,4,4
1003_2126219485,1003,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$210 ,11,$993 ,16.28, Medium ,83444,41.40%,"$82,948 ","$1,238,293 ",46.90%,18.00%,5.70%,3.10%,25.20%,3,3,4,4
1130_2126219485,1130,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$190 ,52,$190 ,2.48, Large ,81756,64.40%,"$125,031 ","$2,006,458 ",63.00%,12.10%,27.70%,2.40%,25.80%,0,4,3,3
926_2126219485,926,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$535 ,52,$535 ,9.05, Small ,121139,29.80%,"$58,669 ","$528,459 ",47.50%,65.60%,2.10%,12.40%,21.80%,0,0,4,4
903_2126219485,903,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$220 ,52,$220 ,17.97, Large ,68444,40.80%,"$80,301 ","$1,762,097 ",45.90%,12.40%,3.50%,20.20%,28.60%,3,4,4,4
1114_2126219485,1114,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$220 ,52,$220 ,9.07, Medium ,94195,38.10%,"$79,707 ","$916,092 ",29.60%,24.00%,29.70%,14.10%,21.30%,0,0,1,1
914_2126219485,914,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$635 ,46,$718 ,16.09, Medium ,53078,35.50%,"$74,843 ","$1,374,467 ",40.70%,14.50%,3.30%,5.50%,29.40%,3,3,4,4
1112_2126219485,1112,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$319 ,52,$319 ,11.39, Large ,34549,37.20%,"$71,445 ","$2,141,335 ",41.20%,24.50%,4.00%,1.80%,31.40%,0,3,4,4
1109_2126219485,1109,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$2,612 ",52,"$2,612 ",12.54, Medium ,174778,43.60%,"$85,443 ","$1,258,042 ",34.20%,28.10%,33.40%,1.10%,24.80%,0,3,3,3
908_2126219485,908,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$210 ,52,$210 ,17.01, Large ,64972,40.40%,"$79,478 ","$2,029,369 ",43.00%,24.60%,1.80%,6.40%,27.30%,3,4,4,4
1111_2126219485,1111,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$682 ,52,$682 ,11.93, Large ,44730,59.70%,"$116,883 ","$2,004,263 ",51.90%,12.20%,14.30%,4.00%,25.30%,0,1,2,2
1004_2126219485,1004,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$389 ,15,"$1,347 ",15.19, Medium ,97652,38.70%,"$80,276 ","$1,036,358 ",46.10%,24.10%,7.70%,8.70%,24.00%,2,2,1,1
1123_2126219485,1123,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$572 ,52,$572 ,6.96, Medium ,59778,46.40%,"$93,124 ","$1,163,387 ",33.30%,32.20%,11.20%,5.60%,21.50%,1,2,1,1
1113_2126219485,1113,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$220 ,51,$224 ,9.41, Medium ,184931,44.70%,"$88,924 ","$1,290,551 ",38.80%,31.20%,24.80%,6.40%,25.10%,0,2,3,3
918_2126219485,918,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$420 ,52,$420 ,13.21, Medium ,95855,38.40%,"$76,987 ","$1,309,505 ",42.40%,64.50%,3.00%,10.90%,26.90%,3,3,4,4
939_2126219485,939,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$105 ,42,$130 ,0.91, Medium ,49433,26.30%,"$62,986 ","$748,645 ",25.80%,22.80%,2.50%,18.50%,25.90%,3,3,2,2
1126_2126219485,1126,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$935 ,52,$935 ,6.5, Medium ,184922,43.80%,"$85,785 ","$1,159,131 ",48.20%,36.30%,30.00%,5.70%,25.00%,0,2,3,3
917_2126219485,917,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$325 ,52,$325 ,13.59, Small ,77995,33.70%,"$69,365 ","$1,092,108 ",35.00%,32.60%,3.70%,20.00%,25.10%,1,1,3,3
913_2126219485,913,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$210 ,51,$214 ,16.63, Medium ,108034,24.60%,"$57,550 ","$870,506 ",29.30%,10.60%,5.30%,4.50%,31.30%,3,1,2,2
1134_2126219485,1134,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$98 ,49,$104 ,1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,4
1102_2126219485,1102,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$1,677 ",52,"$1,677 ",14.05, Medium ,173897,41.00%,"$81,493 ","$992,346 ",37.30%,39.50%,16.90%,4.40%,23.80%,0,2,2,2
1105_2126219485,1105,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$1,397 ",52,"$1,397 ",14.28, Small ,112976,46.70%,"$91,951 ","$1,420,834 ",41.80%,39.30%,23.20%,2.00%,23.20%,0,3,4,4
923_2126219485,923,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$325 ,42,$402 ,10.51, Medium ,43498,13.20%,"$39,984 ","$311,524 ",21.50%,8.70%,2.70%,28.80%,25.20%,2,1,2,2
902_2126219485,902,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$320 ,52,$320 ,18.91, Medium ,63515,27.20%,"$60,995 ","$1,186,673 ",37.00%,17.60%,2.40%,8.20%,26.90%,3,3,3,3
919_2126219485,919,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$110 ,49,$117 ,12.31, Medium ,144133,25.70%,"$56,680 ","$716,877 ",30.90%,27.90%,3.70%,38.50%,24.90%,2,1,3,3
912_2126219485,912,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$320 ,51,$326 ,18.18, Medium ,161891,22.70%,"$52,353 ","$650,376 ",31.60%,40.90%,2.00%,36.40%,25.10%,0,0,3,3
1133_2126219485,1133,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,"$1,054 ",52,"$1,054 ",2.21, Large ,59305,63.60%,"$130,486 ","$2,322,883 ",65.40%,14.50%,7.50%,1.00%,27.50%,1,3,3,3
1101_2126219485,1101,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$697 ,52,$697 ,16.78, Large ,86848,48.80%,"$97,376 ","$1,445,578 ",43.10%,15.50%,9.90%,2.40%,23.50%,1,2,3,3
1110_2126219485,1110,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$1,826 ",52,"$1,826 ",12.21, Small ,117011,55.80%,"$110,086 ","$1,774,066 ",53.70%,21.10%,16.40%,1.90%,26.30%,1,3,3,3
931_2126219485,931,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$1,075 ",52,"$1,075 ",6.48, Large ,162992,22.10%,"$52,054 ","$616,482 ",31.60%,38.40%,2.20%,32.80%,25.60%,2,1,4,4
928_2126219485,928,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$210 ,52,$210 ,8.26, Medium ,81740,24.10%,"$59,842 ","$537,330 ",30.40%,28.00%,4.00%,19.60%,23.50%,2,1,1,1
1115_2126219485,1115,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$291 ,52,$291 ,8.72, Medium ,75469,66.40%,"$137,450 ","$1,906,279 ",54.50%,17.90%,54.00%,2.60%,24.20%,0,2,2,2
1009_2126219485,1009,AZ,2126219485,Daou Cabernet Reserve Paso,1.5L,$104.99 ,$409 ,52,$409 ,12.19, Large ,115955,17.90%,"$48,071 ","$459,209 ",34.40%,31.40%,3.90%,6.00%,24.50%,2,1,1,1
901_2126219485,901,FL,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,$430 ,47,$476 ,19.18, Small ,112471,28.60%,"$57,338 ","$751,078 ",40.70%,38.10%,3.20%,18.10%,24.00%,2,3,4,4
1103_2126219485,1103,CA,2126219485,Daou Cabernet Reserve Paso,1.5L,$109.99 ,"$1,496 ",52,"$1,496 ",16.05, Medium ,162484,50.70%,"$101,198 ","$1,302,349 ",49.30%,38.50%,27.20%,2.00%,21.10%,0,3,4,4
1142_2126219572,1142,CA,2126219572,Lightpost Winery Cabernet Rsv,750ml,$46.99 ,$41 ,49,$43 ,1.01, Large ,37229,45.50%,"$91,270 ","$1,253,134 ",25.80%,27.00%,7.70%,9.50%,25.00%,0,1,2,1
1140_2126219572,1140,CA,2126219572,Lightpost Winery Cabernet Rsv,750ml,$45.99 ,$42 ,36,$60 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,2
1134_2126219572,1134,CA,2126219572,Lightpost Winery Cabernet Rsv,750ml,$45.99 ,$195 ,49,$207 ,1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,2
1142_2126219573,1142,CA,2126219573,Lightpost Winery Ignition Red,750ml,$28.99 ,$101 ,49,$107 ,1.01, Large ,37229,45.50%,"$91,270 ","$1,253,134 ",25.80%,27.00%,7.70%,9.50%,25.00%,0,1,2,1
1140_2126219573,1140,CA,2126219573,Lightpost Winery Ignition Red,750ml,$27.99 ,$56 ,36,$81 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,2
2301_2126220109,2301,CO,2126220109,La Jota Cabernet Howell Mountain,750ml,$189.99 ,$171 ,52,$171 ,6.29, Medium ,229522,36.70%,"$71,604 ","$865,880 ",57.50%,21.70%,5.40%,8.10%,22.30%,4,4,3,3
221_2126220109,221,VA,2126220109,La Jota Cabernet Howell Mountain,750ml,$164.99 ,$165 ,32,$268 ,2.97, Large ,310328,49.20%,"$97,857 ","$902,107 ",63.00%,14.60%,8.10%,29.70%,20.60%,2,3,2,2
501_2126220109,501,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$315 ,51,$321 ,12.44, Large ,189335,39.10%,"$74,425 ","$1,348,097 ",56.60%,30.40%,6.10%,14.40%,21.30%,3,4,4,4
907_2126220109,907,FL,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$200 ,42,$248 ,18.41, Large ,79803,27.40%,"$62,306 ","$566,903 ",40.20%,16.60%,9.40%,17.90%,20.40%,3,4,4,4
531_2126220109,531,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$337 ,52,$337 ,4.59, Small ,181332,37.30%,"$74,464 ","$864,068 ",53.90%,38.40%,4.40%,16.40%,20.00%,2,2,3,3
513_2126220109,513,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$332 ,52,$332 ,7.34, Large ,155581,40.60%,"$81,206 ","$1,108,685 ",57.10%,16.40%,20.80%,13.00%,24.50%,2,4,3,3
939_2126220109,939,FL,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$200 ,39,$267 ,0.91, Medium ,49433,26.30%,"$62,986 ","$748,645 ",25.80%,22.80%,2.50%,18.50%,25.90%,3,3,2,2
504_2126220109,504,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$200 ,41,$254 ,10.08, Large ,62754,39.30%,"$78,101 ","$1,087,999 ",53.50%,43.00%,7.70%,4.90%,21.60%,1,2,3,3
1702_2126220109,1702,MA,2126220109,La Jota Cabernet Howell Mountain,750ml,$159.99 ,$176 ,52,$176 ,8.47, Medium ,363647,46.10%,"$89,166 ","$704,587 ",57.80%,18.50%,13.80%,9.40%,19.20%,3,2,2,2
1120_2126220109,1120,CA,2126220109,La Jota Cabernet Howell Mountain,750ml,$204.99 ,$175 ,52,$175 ,7.05, Large ,168631,56.50%,"$116,849 ","$1,755,512 ",47.60%,28.60%,29.00%,3.20%,23.80%,0,3,3,3
2302_2126220109,2302,CO,2126220109,La Jota Cabernet Howell Mountain,750ml,$189.99 ,$342 ,52,$342 ,5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
1126_2126220109,1126,CA,2126220109,La Jota Cabernet Howell Mountain,750ml,$209.99 ,$857 ,51,$874 ,6.5, Medium ,184922,43.80%,"$85,785 ","$1,159,131 ",48.20%,36.30%,30.00%,5.70%,25.00%,0,2,3,3
524_2126220109,524,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$380 ,52,$380 ,6.12, Large ,65602,53.50%,"$106,365 ","$1,703,161 ",53.30%,21.50%,5.80%,6.00%,25.40%,3,3,3,3
205_2126220109,205,VA,2126220109,La Jota Cabernet Howell Mountain,750ml,$164.99 ,$695 ,52,$695 ,26.47, Large ,112024,69.10%,"$159,315 ","$2,995,145 ",76.90%,13.20%,16.90%,4.20%,26.00%,4,4,4,4
910_2126220109,910,FL,2126220109,La Jota Cabernet Howell Mountain,750ml,$194.99 ,$585 ,42,$724 ,17.96, Small ,104154,26.00%,"$57,520 ","$935,480 ",33.80%,13.40%,2.80%,6.40%,29.80%,3,2,2,2
305_2126220109,305,NJ,2126220109,La Jota Cabernet Howell Mountain,750ml,$170.07 ,$175 ,51,$178 ,2.96, Large ,60245,46.80%,"$91,707 ","$1,786,040 ",48.20%,15.60%,4.10%,8.10%,26.40%,4,4,4,4
1110_2126220109,1110,CA,2126220109,La Jota Cabernet Howell Mountain,750ml,$209.99 ,$578 ,52,$578 ,12.21, Small ,117011,55.80%,"$110,086 ","$1,774,066 ",53.70%,21.10%,16.40%,1.90%,26.30%,1,3,3,3
918_2126220109,918,FL,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$180 ,38,$246 ,13.21, Medium ,95855,38.40%,"$76,987 ","$1,309,505 ",42.40%,64.50%,3.00%,10.90%,26.90%,3,3,4,4
1003_2126220109,1003,AZ,2126220109,La Jota Cabernet Howell Mountain,750ml,$209.99 ,$350 ,52,$350 ,16.28, Medium ,83444,41.40%,"$82,948 ","$1,238,293 ",46.90%,18.00%,5.70%,3.10%,25.20%,3,3,4,4
1007_2126220109,1007,AZ,2126220109,La Jota Cabernet Howell Mountain,750ml,$209.99 ,$175 ,52,$175 ,13.12, Medium ,86579,47.70%,"$94,804 ","$1,970,370 ",57.20%,8.50%,5.00%,2.20%,30.40%,3,3,4,4
901_2126220109,901,FL,2126220109,La Jota Cabernet Howell Mountain,750ml,$194.99 ,$195 ,26,$390 ,19.18, Small ,112471,28.60%,"$57,338 ","$751,078 ",40.70%,38.10%,3.20%,18.10%,24.00%,2,3,4,4
523_2126220109,523,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$158 ,52,$158 ,6.96, Large ,87784,44.60%,"$90,801 ","$857,716 ",40.00%,24.10%,7.70%,10.50%,19.20%,2,2,1,1
506_2126220109,506,TX,2126220109,La Jota Cabernet Howell Mountain,750ml,$199.99 ,$175 ,52,$175 ,10.97, Large ,120430,54.80%,"$108,099 ","$1,414,564 ",64.80%,11.30%,26.50%,8.70%,23.70%,3,4,4,4
1105_2126220109,1105,CA,2126220109,La Jota Cabernet Howell Mountain,750ml,$209.99 ,$157 ,52,$157 ,14.28, Small ,112976,46.70%,"$91,951 ","$1,420,834 ",41.80%,39.30%,23.20%,2.00%,23.20%,0,3,4,4
605_2126220110,605,NC,2126220110,Cardinale Red Napa,750ml,$389.99 ,$390 ,52,$390 ,21.92, Medium ,119342,37.50%,"$73,576 ","$958,429 ",58.50%,12.70%,5.30%,29.40%,20.70%,3,3,4,4
2802_2126220110,2802,KS,2126220110,Cardinale Red Napa,750ml,$339.99 ,"$1,840 ",51,"$1,876 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,4
1112_2126220110,1112,CA,2126220110,Cardinale Red Napa,750ml,$449.99 ,"$1,620 ",51,"$1,652 ",11.39, Large ,34549,37.20%,"$71,445 ","$2,141,335 ",41.20%,24.50%,4.00%,1.80%,31.40%,0,3,4,4
901_2126220110,901,FL,2126220110,Cardinale Red Napa,750ml,$339.99 ,$683 ,51,$696 ,19.18, Small ,112471,28.60%,"$57,338 ","$751,078 ",40.70%,38.10%,3.20%,18.10%,24.00%,2,3,4,4
905_2126220110,905,FL,2126220110,Cardinale Red Napa,750ml,$399.99 ,$972 ,52,$972 ,17.7, Large ,114906,35.10%,"$67,832 ","$1,601,701 ",46.70%,18.50%,2.80%,10.90%,27.70%,3,4,4,4
2302_2126220110,2302,CO,2126220110,Cardinale Red Napa,750ml,$389.99 ,$324 ,52,$324 ,5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
1109_2126220110,1109,CA,2126220110,Cardinale Red Napa,750ml,$449.99 ,$720 ,51,$734 ,12.54, Medium ,174778,43.60%,"$85,443 ","$1,258,042 ",34.20%,28.10%,33.40%,1.10%,24.80%,0,3,3,3
1201_2126220110,1201,NV,2126220110,Cardinale Red Napa,750ml,$429.99 ,$972 ,52,$972 ,14.67, Large ,170684,30.00%,"$64,506 ","$873,551 ",31.50%,26.30%,11.60%,11.50%,25.20%,2,4,4,4
934_2126220110,934,FL,2126220110,Cardinale Red Napa,750ml,$339.99 ,$360 ,52,$360 ,3.36, Large ,41228,45.20%,"$90,746 ","$1,114,299 ",45.80%,23.40%,7.60%,10.50%,25.30%,2,1,2,2
1103_2126220110,1103,CA,2126220110,Cardinale Red Napa,750ml,$449.99 ,$360 ,51,$367 ,16.05, Medium ,162484,50.70%,"$101,198 ","$1,302,349 ",49.30%,38.50%,27.20%,2.00%,21.10%,0,3,4,4
510_2126220110,510,TX,2126220110,Cardinale Red Napa,750ml,$369.99 ,$360 ,52,$360 ,9.13, Large ,89768,50.50%,"$100,766 ","$1,102,354 ",57.70%,19.00%,19.20%,5.80%,21.80%,3,2,1,1
1701_2126220110,1701,MA,2126220110,Cardinale Red Napa,750ml,$389.99 ,$400 ,42,$495 ,8.97, Large ,56102,56.10%,"$113,727 ","$2,295,006 ",62.70%,10.80%,11.30%,4.60%,26.20%,4,4,4,4
522_2126220110,522,TX,2126220110,Cardinale Red Napa,750ml,$369.99 ,"$1,080 ",52,"$1,080 ",7.3, Medium ,133257,38.20%,"$75,120 ","$843,409 ",54.40%,31.50%,10.90%,7.10%,20.20%,0,1,2,2
1105_2126220110,1105,CA,2126220110,Cardinale Red Napa,750ml,$449.99 ,$360 ,51,$367 ,14.28, Small ,112976,46.70%,"$91,951 ","$1,420,834 ",41.80%,39.30%,23.20%,2.00%,23.20%,0,3,4,4
2301_2126220110,2301,CO,2126220110,Cardinale Red Napa,750ml,$389.99 ,$750 ,52,$750 ,6.29, Medium ,229522,36.70%,"$71,604 ","$865,880 ",57.50%,21.70%,5.40%,8.10%,22.30%,4,4,3,3
1110_2126220110,1110,CA,2126220110,Cardinale Red Napa,750ml,$449.99 ,$360 ,51,$367 ,12.21, Small ,117011,55.80%,"$110,086 ","$1,774,066 ",53.70%,21.10%,16.40%,1.90%,26.30%,1,3,3,3
1130_2126220110,1130,CA,2126220110,Cardinale Red Napa,750ml,$439.99 ,$764 ,51,$779 ,2.48, Large ,81756,64.40%,"$125,031 ","$2,006,458 ",63.00%,12.10%,27.70%,2.40%,25.80%,0,4,3,3
1401_2126220110,1401,WA,2126220110,Cardinale Red Napa,750ml,$379.99 ,"$1,140 ",43,"$1,379 ",12.35, Large ,101821,65.40%,"$141,954 ","$2,180,090 ",72.30%,6.90%,31.90%,2.40%,24.70%,2,4,4,4
1120_2126220110,1120,CA,2126220110,Cardinale Red Napa,750ml,$439.99 ,$360 ,51,$367 ,7.05, Large ,168631,56.50%,"$116,849 ","$1,755,512 ",47.60%,28.60%,29.00%,3.20%,23.80%,0,3,3,3
922_2126220110,922,FL,2126220110,Cardinale Red Napa,750ml,$399.99 ,$360 ,52,$360 ,11.45, Large ,155715,31.30%,"$66,776 ","$806,438 ",35.40%,82.70%,2.00%,4.60%,26.00%,2,2,3,3
501_2126220110,501,TX,2126220110,Cardinale Red Napa,750ml,$369.99 ,"$1,802 ",52,"$1,802 ",12.44, Large ,189335,39.10%,"$74,425 ","$1,348,097 ",56.60%,30.40%,6.10%,14.40%,21.30%,3,4,4,4
1806_2126220110,1806,MO,2126220110,Cardinale Red Napa,750ml,$359.99 ,$324 ,38,$443 ,1.07, Large ,60259,48.30%,"$96,145 ","$1,799,787 ",59.90%,6.50%,8.70%,12.00%,25.70%,2,2,2,2
1205_2126220110,1205,NV,2126220110,Cardinale Red Napa,750ml,$429.99 ,$324 ,52,$324 ,8.01, Medium ,144212,24.40%,"$57,086 ","$483,096 ",26.70%,29.30%,14.90%,12.20%,23.20%,0,1,3,3
524_2126220110,524,TX,2126220110,Cardinale Red Napa,750ml,$369.99 ,$333 ,52,$333 ,6.12, Large ,65602,53.50%,"$106,365 ","$1,703,161 ",53.30%,21.50%,5.80%,6.00%,25.40%,3,3,3,3
1014_2126220423,1014,AZ,2126220423,Silver Oak Cabernet Napa,750ml,$174.99 ,$445 ,17,"$1,361 ",0.38, Large ,80869,32.80%,"$68,974 ","$890,826 ",27.20%,19.60%,2.50%,2.70%,23.70%,2,1,1,1
1801_2126220790,1801,MO,2126220790,Avaline Cabernet Sauvignon,750ml,$23.99 ,"$1,872 ",52,"$1,872 ",9.16, Medium ,65540,52.20%,"$103,817 ","$2,376,480 ",64.20%,3.10%,8.20%,3.80%,28.20%,3,3,2,3
1804_2126220790,1804,MO,2126220790,Avaline Cabernet Sauvignon,750ml,$23.99 ,"$1,324 ",52,"$1,324 ",2.15, Large ,62406,48.00%,"$95,727 ","$1,449,941 ",42.50%,3.30%,3.30%,4.80%,24.30%,3,3,2,3
2303_2126220790,2303,CO,2126220790,Avaline Cabernet Sauvignon,750ml,$22.99 ,"$2,038 ",52,"$2,038 ",2.18, Large ,106175,43.70%,"$86,834 ","$1,414,923 ",45.80%,21.30%,4.20%,1.50%,26.70%,4,4,3,4
1143_2126220790,1143,CA,2126220790,Avaline Cabernet Sauvignon,750ml,$18.99 ,$46 ,7,$341 ,0.23, Small ,238384,51.20%,"$102,423 ","$1,270,766 ",67.80%,17.60%,15.40%,3.80%,23.10%,0,2,3,0
