PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier,Price_to_Stock_Ratio,Stock_to_Sales_Ratio,Income_Age_Interaction,Nor_sales_per_store_size
903_256750,903,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,5360.0,52,5360.0,17.97, Large ,68444,40.8,80301.0,1762097.0,45.9,12.4,3.5,20.2,28.6,4,1.5281132075471697,0.009699682894982279,1166.8799999999999,2992.0
1110_256750,1110,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,3736.0,52,3736.0,12.21, Small ,117011,55.8,110086.0,1774066.0,53.7,21.1,16.4,1.9,26.3,3,1.1318867924528302,0.013914905004013914,1467.54,4093.17
1013_256750,1013,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,745.0,52,745.0,1.76, Medium ,58383,31.1,73466.0,838517.0,28.9,22.0,3.8,6.9,19.2,1,1.3960377358490565,0.06970509383378017,597.12,2915.2
1401_256750,1401,WA,256750.0,Heitz Cabernet Napa,750ml,67.97,4827.0,49,5122.0,12.35, Large ,101821,65.4,141954.0,2180090.0,72.3,6.9,31.9,2.4,24.7,4,1.3594,0.009564708178801484,1615.38,2071.09
616_256750,616,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,447.0,19,1223.0,0.47, Small ,46337,67.2,133633.0,1868814.0,70.8,6.8,20.8,5.8,23.6,4,3.9995,0.015522875816993464,1585.92,2378.32
515_256750,515,TX,256750.0,Heitz Cabernet Napa,750ml,79.99,1385.0,52,1385.0,7.76, Medium ,76885,42.7,83880.0,1300206.0,46.5,23.5,10.8,8.1,24.3,2,1.5092452830188678,0.03751803751803752,1037.6100000000001,2132.7
614_256750,614,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,800.0,52,800.0,6.02, Medium ,52204,36.2,76881.0,881695.0,51.7,10.2,8.5,30.0,19.1,0,1.5092452830188678,0.06491885143570537,691.4200000000001,1482.89
2605_256750,2605,MI,256750.0,Heitz Cabernet Napa,750ml,79.99,1738.0,29,3116.0,0.64, Large ,70177,49.6,98966.0,1808879.0,55.4,4.3,13.0,4.6,27.0,3,2.666333333333333,0.00930381777350016,1339.2,4546.71
920_256750,920,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,3453.0,52,3453.0,13.08, Medium ,104075,19.2,50696.0,473709.0,31.1,27.6,4.2,38.5,21.3,4,1.5281132075471697,0.015055008685581933,408.96,2354.75
1011_256750,1011,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,1068.0,52,1068.0,4.51, Medium ,44532,51.0,101250.0,1219443.0,38.0,22.1,3.8,4.4,17.6,0,1.3960377358490565,0.04864359214218896,897.6,2915.2
1123_256750,1123,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,2113.0,52,2113.0,6.96, Medium ,59778,46.4,93124.0,1163387.0,33.3,32.2,11.2,5.6,21.5,1,1.1318867924528302,0.02459791863765374,997.6,3050.8
704_256750,704,SC,256750.0,Heitz Cabernet Napa,750ml,78.99,1598.0,52,1598.0,5.56, Large ,39322,21.6,53001.0,513776.0,28.3,12.4,2.9,11.6,22.9,2,1.490377358490566,0.032520325203252036,494.64,2538.5
907_256750,907,FL,256750.0,Heitz Cabernet Napa,750ml,79.99,4958.0,52,4958.0,18.41, Large ,79803,27.4,62306.0,566903.0,40.2,16.6,9.4,17.9,20.4,4,1.5092452830188678,0.01048598507763662,558.9599999999999,2992.0
924_256750,924,FL,256750.0,Heitz Cabernet Napa,750ml,68.97,2210.0,52,2210.0,10.03, Medium ,45822,33.3,69771.0,1679664.0,45.5,8.1,2.4,1.3,32.6,2,1.3013207547169812,0.023518769787426504,1085.58,2354.75
925_256750,925,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,3363.0,52,3363.0,9.34, Medium ,100968,27.5,62603.0,830749.0,38.9,24.2,3.9,15.3,25.9,2,1.5281132075471697,0.015457788347205707,712.25,2354.75
1402_256750,1402,WA,256750.0,Heitz Cabernet Napa,750ml,67.97,1341.0,52,1341.0,12.12, Large ,108755,36.5,70671.0,827365.0,31.1,16.8,24.4,14.9,23.5,1,1.2824528301886793,0.038748137108792845,857.75,1951.6
507_256750,507,TX,256750.0,Heitz Cabernet Napa,750ml,80.99,1059.0,52,1059.0,10.45, Large ,87469,42.4,85349.0,1118838.0,50.2,22.1,20.3,11.2,22.8,2,1.5281132075471697,0.04905660377358491,966.72,1786.26
1141_256750,1141,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,417.0,9,2410.0,0.25, Medium ,394314,32.9,64024.0,550253.0,46.2,40.1,16.9,8.0,22.0,4,5.9990000000000006,0.0037328909166321027,723.8,17626.84
912_256750,912,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,2407.0,52,2407.0,18.18, Medium ,161891,22.7,52353.0,650376.0,31.6,40.9,2.0,36.4,25.1,3,1.5281132075471697,0.02159468438538206,569.77,2354.75
919_256750,919,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,1202.0,52,1202.0,12.31, Medium ,144133,25.7,56680.0,716877.0,30.9,27.9,3.7,38.5,24.9,3,1.5281132075471697,0.043225270157938485,639.93,2354.75
511_256750,511,TX,256750.0,Heitz Cabernet Napa,750ml,80.99,2140.0,52,2140.0,8.97, Medium ,61227,30.7,64838.0,790611.0,40.7,23.5,5.7,12.8,18.1,0,1.5281132075471697,0.024287716020551145,555.6700000000001,2132.7
937_256750,937,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,1369.0,52,1369.0,2.46, Large ,57919,19.4,47357.0,507951.0,30.6,6.0,3.2,31.1,24.3,2,1.5281132075471697,0.03795620437956204,471.41999999999996,2992.0
1412_256750,1412,WA,256750.0,Heitz Cabernet Napa,750ml,67.97,510.0,52,510.0,8.65, Medium ,25582,37.5,80542.0,933080.0,32.6,9.1,9.3,4.2,24.7,0,1.2824528301886793,0.10176125244618395,926.25,633.2
516_256750,516,TX,256750.0,Heitz Cabernet Napa,750ml,79.99,1709.0,52,1709.0,7.69, Large ,239770,40.4,76352.0,1163541.0,61.0,38.1,10.0,8.1,21.2,4,1.5092452830188678,0.0304093567251462,856.4799999999999,1786.26
522_256750,522,TX,256750.0,Heitz Cabernet Napa,750ml,66.19,2047.0,52,2047.0,7.3, Medium ,133257,38.2,75120.0,843409.0,54.4,31.5,10.9,7.1,20.2,2,1.2488679245283019,0.025390625,771.64,2132.7
1114_256750,1114,CA,256750.0,Heitz Cabernet Napa,750ml,65.99,1970.0,52,1970.0,9.07, Medium ,94195,38.1,79707.0,916092.0,29.6,24.0,29.7,14.1,21.3,1,1.2450943396226415,0.026382546930492135,811.5300000000001,3050.8
2602_256750,2602,MI,256750.0,Heitz Cabernet Napa,750ml,79.99,3076.0,52,3076.0,2.95, Large ,74390,48.1,95634.0,1714835.0,57.1,2.9,15.0,7.0,29.2,4,1.5092452830188678,0.016899577510562237,1404.52,2535.67
1005_256750,1005,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,2052.0,52,2052.0,15.13, Medium ,96370,50.5,100569.0,1198186.0,44.7,18.9,8.5,4.7,19.8,2,1.3960377358490565,0.025328787140769606,999.9000000000001,2915.2
503_256750,503,TX,256750.0,Heitz Cabernet Napa,750ml,82.99,1226.0,52,1226.0,10.91, Medium ,133629,22.8,53255.0,701789.0,37.6,56.1,3.1,5.2,22.8,2,1.5658490566037735,0.042379788101059496,519.84,2132.7
922_256750,922,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,1200.0,52,1200.0,11.45, Large ,155715,31.3,66776.0,806438.0,35.4,82.7,2.0,4.6,26.0,3,1.5281132075471697,0.04329725228975854,813.8000000000001,2992.0
1101_256750,1101,CA,256750.0,Heitz Cabernet Napa,750ml,65.99,4118.0,52,4118.0,16.78, Large ,86848,48.8,97376.0,1445578.0,43.1,15.5,9.9,2.4,23.5,3,1.2450943396226415,0.01262442340373877,1146.8,3798.41
219_256750,219,VA,256750.0,Heitz Cabernet Napa,750ml,79.99,800.0,52,800.0,6.63, Medium ,82573,67.0,144001.0,2629620.0,68.6,16.2,20.2,8.2,26.0,2,1.5092452830188678,0.06491885143570537,1742.0,960.0
526_256750,526,TX,256750.0,Heitz Cabernet Napa,750ml,79.99,1274.0,52,1274.0,7.4, Large ,43879,30.2,67052.0,650152.0,26.0,37.4,3.4,26.9,19.4,0,1.5092452830188678,0.0407843137254902,585.88,1786.26
905_256750,905,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,3847.0,52,3847.0,17.7, Large ,114906,35.1,67832.0,1601701.0,46.7,18.5,2.8,10.9,27.7,4,1.5281132075471697,0.013513513513513514,972.27,2992.0
1205_256750,1205,NV,256750.0,Heitz Cabernet Napa,750ml,79.99,3222.0,52,3222.0,8.01, Medium ,144212,24.4,57086.0,483096.0,26.7,29.3,14.9,12.2,23.2,3,1.5092452830188678,0.016134036611852313,566.0799999999999,3222.0
1133_256750,1133,CA,256750.0,Heitz Cabernet Napa,750ml,57.97,4164.0,52,4164.0,2.21, Large ,59305,63.6,130486.0,2322883.0,65.4,14.5,7.5,1.0,27.5,3,1.0937735849056605,0.01248499399759904,1749.0,3798.41
913_256750,913,FL,256750.0,Heitz Cabernet Napa,750ml,68.97,869.0,52,869.0,16.63, Medium ,108034,24.6,57550.0,870506.0,29.3,10.6,5.3,4.5,31.3,2,1.3013207547169812,0.059770114942528735,769.98,2354.75
2301_256750,2301,CO,256750.0,Heitz Cabernet Napa,750ml,72.99,4863.0,52,4863.0,6.29, Medium ,229522,36.7,71604.0,865880.0,57.5,21.7,5.4,8.1,22.3,3,1.3771698113207547,0.01069078947368421,818.4100000000001,4863.0
